epoch,loss,mean_squared_error
0,-0.004420671794723804,0.2061859248266152
1,-0.004930750975987373,0.1613657927050517
2,-0.004996701582099436,0.13882401257081847
3,-0.005038473332227887,0.1259861078316051
4,-0.005076381181769141,0.114632573343459
5,-0.005124711885933942,0.0934047870075833
6,-0.0051693090277315674,0.09123735808622446
7,-0.005209424289411955,0.08726113893377371
8,-0.005257790025982882,0.07913120414353372
9,-0.005311055873450845,0.07211566256870472
10,-0.0053711108457641194,0.06940186714380685
11,-0.005437920524791867,0.0676932484166772
12,-0.005509743882626166,0.0658981569395076
13,-0.005575534234618399,0.06596155164328657
14,-0.005657648071212261,0.06406592486981175
15,-0.00573691125016177,0.059596141192329186
16,-0.0058253605924654716,0.05485630114383024
17,-0.005904114151432166,0.053273171984127565
18,-0.005977452646902658,0.052674336838249416
19,-0.006052255884769139,0.05254580775841075
20,-0.006112071851533241,0.05339000478587158
21,-0.006170709286705356,0.053773883691884454
22,-0.006216490005116848,0.055058696193234974
23,-0.006265435830784093,0.055918815401541665
24,-0.006303139315521211,0.056832394070922346
25,-0.006337708396949282,0.05806337413644976
26,-0.006363123453874227,0.059486275909662184
27,-0.006388622482556009,0.06110213209070743
28,-0.006410376336116288,0.062110016792757364
29,-0.006429890763676753,0.06325061085498573
30,-0.006448521922465322,0.06435516099340596
31,-0.00646673083292596,0.06561926331939018
32,-0.006485088544533625,0.06650588748219896
33,-0.006498178699709026,0.06715138900977441
34,-0.006511800452067394,0.06822872207124395
35,-0.006529504318776448,0.06821202682418336
36,-0.006534844445044292,0.06925970135092939
37,-0.006542932229392188,0.06983904534059168
38,-0.006552473654940338,0.07056975271908689
39,-0.006562411623503407,0.07097197583418681
40,-0.006569237118464914,0.07144992576983468
41,-0.006577181733841814,0.0716555920511873
42,-0.006583582303521249,0.07192708899525098
43,-0.006588972756919661,0.07221526976359159
44,-0.006594231654960446,0.07248285267684186
45,-0.006597198278587108,0.0728398860247023
46,-0.006600521782287705,0.07329881652190227
47,-0.006605166016755968,0.07349995804671039
48,-0.006612336981034311,0.07324033572784855
49,-0.006613840044304652,0.07372307732832857
50,-0.006615841920153907,0.07402973914451948
51,-0.006621970289979178,0.07391115394736926
52,-0.006625074256012222,0.07405002845878547
53,-0.006623916685927769,0.07455573861664785
0,-0.005957835917257382,0.09804935721143744
0,-0.005574916574896846,0.13518490337472547
1,-0.005838076218028524,0.13183182588889988
2,-0.005992010271497977,0.13138706328479619
3,-0.0060928818750240485,0.13130940322757223
4,-0.006165200420163816,0.1296922287473347
5,-0.0062066802451511485,0.1283341893931908
6,-0.006257962399220153,0.12380015492706309
7,-0.006275381764615712,0.12265272552606726
8,-0.006315190399904773,0.11878346654050576
9,-0.006343113436731921,0.1145236627178507
10,-0.006360327108387758,0.11283637129976935
11,-0.00637559228527509,0.10981742515698584
12,-0.006396385225323679,0.1076625625278061
13,-0.006406370907754888,0.10563521281263702
14,-0.006415532113222626,0.10478643435748737
15,-0.006430356852827567,0.10280479597768885
16,-0.006441617434315942,0.10093601460332126
17,-0.00645431619832612,0.09899313573227646
18,-0.006455494497424942,0.0985773948498246
19,-0.006470639174866679,0.09717777822329163
20,-0.006475225914064007,0.09587503023350376
21,-0.006482805639919199,0.09529316400583121
22,-0.006489105980194362,0.09447154828227859
23,-0.0065005277710555535,0.09295504673724432
24,-0.006504347169910955,0.09166675908148626
25,-0.0065114041984263875,0.09123081459442545
26,-0.006518774009830656,0.08992589749901454
27,-0.006525427566065408,0.08918195729639584
28,-0.006523809246073376,0.0889747184349671
29,-0.006535508945848882,0.08782831891548462
30,-0.00654240171877268,0.08668485823721735
31,-0.006545416835908056,0.08597150637016794
32,-0.006545900745791776,0.08610276322105466
33,-0.006551166467313624,0.08513522558900927
34,-0.006557575566405748,0.08436036324635342
