epoch,cosine_proximity,loss,mean_squared_error,val_cosine_proximity,val_loss,val_mean_squared_error
0,-0.7121876889570766,-0.7054865743644984,0.020617024586456607,-0.7182032584540233,-0.7119602679602489,0.021229957293735228
1,-0.7123247482464911,-0.7064305988058626,0.02202623309962986,-0.7152147711013402,-0.7105250776504125,0.02285786377543694
2,-0.7122598723674671,-0.7077783643384576,0.02318097585012394,-0.7162740830488384,-0.7123921517439068,0.023806131621431855
3,-0.7123080201760946,-0.7075465952575533,0.02430213810819096,-0.6987411369463125,-0.6950180520197072,0.02637423181909038
4,-0.7124158594243278,-0.7086950448710422,0.02514319820539237,-0.7148841240816627,-0.7118557312899146,0.025879462833169917
5,-0.7124067407188863,-0.7093457670678046,0.025842575576388836,-0.7162650522119575,-0.7134600576288276,0.026129291772939447
6,-0.7124489228579346,-0.7093956722596636,0.02647242582130227,-0.7167594127044319,-0.7141120128020881,0.026665552473436993
7,-0.712485138924799,-0.709645168732968,0.026991548431553748,-0.7165716805868659,-0.7137254991941963,0.027116266495713966
8,-0.7124873203752354,-0.7073232728727917,0.02742306648937212,-0.7158285483782613,-0.71328664869717,0.02779294490981335
9,-0.712499635247948,-0.7081996970916339,0.027833096648276753,-0.7171026695568207,-0.7086023319561127,0.02796637205819447
10,-0.7124724102896408,-0.7078696764734789,0.02822733041328603,-0.7162314635282315,-0.7135914546018399,0.02836953968553657
11,-0.7124538279856544,-0.7078691935349446,0.02861449028562722,-0.7154805263458561,-0.7131533225952458,0.02890271096666884
12,-0.7124679064340398,-0.7082467856381092,0.028986059525851537,-0.7169492376696011,-0.7147036326776882,0.029069173696967092
13,-0.7124449754689199,-0.7089735798300482,0.029356455956260685,-0.7157076561416454,-0.7137694919074841,0.029551516353070476
14,-0.7125061501995396,-0.7106500974505536,0.029698676154695645,-0.7170426094670027,-0.715134783997032,0.02977864883365662
15,-0.7125509768465624,-0.7107541393326885,0.02997171630092557,-0.7172035879836931,-0.7153736657844438,0.029949944706259002
16,-0.7125370051842405,-0.7047609008271122,0.030181175281152,-0.7159611082025271,-0.714021275038312,0.030207330565872655
17,-0.7125151028689483,-0.7108237759386009,0.03041774978209377,-0.7175130539623598,-0.7158984237400392,0.0304152738213992
18,-0.7125067785070731,-0.710175178516099,0.030686530095862686,-0.7172921486252813,-0.702588338410285,0.030679470740862504
19,-0.7125265579988198,-0.7096967297750257,0.030889087409798347,-0.7166572526291379,-0.7150885179832944,0.030884730404542083
20,-0.7125516827273652,-0.7110786446615521,0.031095392249246605,-0.7165950272776801,-0.7151568864085395,0.031098123668125588
21,-0.712524913977526,-0.7097437475110296,0.03126054869958129,-0.7167168925536525,-0.7138185570968043,0.03125680048509289
22,-0.7125398302315975,-0.7108725909396513,0.03144631185112045,-0.7168940235409136,-0.7155013610157366,0.03141815696779622
23,-0.7125229455767893,-0.7107460399500692,0.03160621846605772,-0.7172775409587385,-0.7159164688952925,0.03161130363038066
24,-0.7125306425465767,-0.7111687296962539,0.03178770334455947,-0.7171803260850147,-0.715882852177544,0.03177268159954489
25,-0.7125705950424656,-0.7111075888706887,0.03193408476614749,-0.7166057587446248,-0.7151311994375265,0.031893156951376914
26,-0.7125335559177031,-0.7106435087504361,0.03208006501477002,-0.7162116205295502,-0.7148284351428925,0.03212024857776641
27,-0.7125412980463007,-0.7112925614515813,0.03222771738282917,-0.717047331086461,-0.7157973620808763,0.03216196957560507
28,-0.7125686913604098,-0.7113698196970945,0.032347703898962424,-0.7168979895356422,-0.7156858098748451,0.03228088970499601
29,-0.7125436868812157,-0.7112766394242477,0.0324616045425965,-0.717270288557116,-0.7151089049282708,0.03243875524295998
30,-0.712517725597934,-0.7112976165447024,0.03262604597354432,-0.7167814521903412,-0.7157016544455902,0.03259861596500132
31,-0.7125817596068832,-0.7110667805909037,0.03271895726311721,-0.7167204756036336,-0.7156147498384053,0.032692511939320996
32,-0.7125267564445188,-0.7114382611905773,0.03284930926800043,-0.7170238074794002,-0.7159483608737178,0.03280402963654867
33,-0.7125499131509674,-0.7113410387488951,0.032954301162367944,-0.7167259613442869,-0.7155780950952024,0.032924290541586416
34,-0.7125810510372571,-0.710547746775924,0.03305894688422435,-0.7171213751505149,-0.7159037118623984,0.032977405205023964
35,-0.7125660078812734,-0.7090338612482762,0.033128862928547595,-0.716437635088795,-0.7134138914593394,0.03311272317546322
36,-0.7125588892529194,-0.7109571605939963,0.03323046561964419,-0.7168944191225358,-0.715655357766945,0.03317742271270662
37,-0.7125915573336526,-0.7115171736183562,0.033321574252145526,-0.717003237752597,-0.7160139198586151,0.03328224477208558
38,-0.7125458546047542,-0.7115308839136398,0.03342796860927169,-0.7170410145898977,-0.7160059203287282,0.03337399421095331
39,-0.7125667291569073,-0.7116057551743019,0.03351147584323572,-0.7170729587547341,-0.7161495635978737,0.03346704313997853
40,-0.7125789327957347,-0.711644883514716,0.03359686971656156,-0.7165891693314664,-0.7156462238511198,0.03353449506294279
41,-0.7125696618626378,-0.7116631815655127,0.03366516149177759,-0.716834601031026,-0.7159480415446369,0.03362423342190327
42,-0.7125773266911621,-0.7116312983048311,0.0337481532023004,-0.7164673601235391,-0.7155644093598367,0.03367565903009364
43,-0.7125711050321911,-0.711703786951777,0.03381635178684536,-0.7170096775126009,-0.7161786695551424,0.03373472166130408
44,-0.7125930689939083,-0.711078876556979,0.033878507892112615,-0.7165470114665162,-0.7149533620791566,0.033828804706116836
45,-0.7125713988472389,-0.7116433751807407,0.033946253894925615,-0.7171422990979748,-0.7163099202336864,0.03386660235867918
46,-0.7125804124728933,-0.7113091949674238,0.034009745316361265,-0.7164322749836918,-0.715604247258472,0.03401146950698882
47,-0.7125884122348515,-0.7117561422367501,0.03408335818797973,-0.7168822321291425,-0.7160655888910749,0.0339958669803767
48,-0.7125763517986274,-0.7110398686097036,0.034131062307522955,-0.7166126819405645,-0.7153251024041265,0.03407782659355103
49,-0.712580895555215,-0.7117019504519588,0.03420537986531111,-0.7167248935499343,-0.7159309000768813,0.034136519102883754
50,-0.7125839495599442,-0.7118018948406835,0.03425938518398557,-0.7165788365945802,-0.7157924725160585,0.03420751889043538
51,-0.7125876930585127,-0.7118047367830528,0.03432069274504906,-0.7171562215267491,-0.716407885211594,0.034238412501843035
52,-0.7126040921051351,-0.7118374892142318,0.034373498237465654,-0.7168074422307021,-0.7158226542897231,0.034294759574334116
53,-0.7125838106182389,-0.711802305152233,0.03441195578807734,-0.7166333295588211,-0.7159308292154983,0.034380110527904954
54,-0.7125902548791818,-0.7116642426250065,0.03448404505460659,-0.717014517565022,-0.7161987087919812,0.03441082450861783
55,-0.7125810719199716,-0.711852967427566,0.034522342431215505,-0.7169853009811876,-0.7162596144310472,0.03445542136856858
56,-0.7126028474340028,-0.7118560549251594,0.034581542011780556,-0.716925339269224,-0.7162193818565042,0.034489287831719465
