epoch,loss,mean_squared_error
0,-0.003678114175594287,32.079721026047224

1,-0.0037131758173456755,31.913695013547212
2,-0.0037363558787562178,31.92940224639531
3,-0.0037559737714141506,31.926029682434972
4,-0.0037721208997461776,31.940450550537857
4,-0.0037731224327175687,31.93519228712323
5,-0.0037862303411235294,31.9581869139694745,-0.003788539476788742,31.944035046777778
6,-0.003796630241587646,31.977315329844053

6,-0.0038096543703332103,31.97416863803814
7,-0.0038135502100536023,31.99019034437209

7,-0.0038246753330682063,31.990903271308905
8,-0.0038267524083784323,32.00716667718124

8,-0.0038371455047353058,32.029028592031146
9,-0.0038353244838995305,31.994275451016474
9,-0.0038501033323650926,32.00956438745732
10,-0.003855672703689404,32.03474815785282

10,-0.003859215486684114,32.02039587342715
11,-0.0038728088745302435,32.066478293192105
11,-0.003876930488565061,32.077975266243605
12,-0.00388319101718415,32.09147575445101

13,-0.0038975901520857843,32.09268379445642

13,-0.0038895628439299915,32.11026919780181
14,-0.003906361807616171,32.12204980423119

14,-0.003908272570134182,32.14331421635806
15,-0.003910807814896166,32.13344138910646
15,-0.003919205293990403,32.12110741267277
16,-0.003923260497574567,32.11763187172578

16,-0.0039270354498891396,32.13134101896884
17,-0.0039386326929036885,32.14196919774913

17,-0.003940245813297388,32.170527204961594
18,-0.003946582230091325,32.168755887733376118,-0.0039518902163908996,32.17793651482715
19,-0.003957456013771558,32.192403408255544119,-0.003958976798012343,32.17553805064962
19,-0.00395934640863688,32.192804586470594

20,-0.003963584031498534,32.1766945752957

21,-0.003976844697728526,32.18735496187031

21,-0.003972841976381348,32.19088898666743
21,-0.00398042504274405,32.22210098780224

22,-0.003984788636200273,32.206023468236914
22,-0.003994282212169457,32.22244733277513
23,-0.003987695877394528,32.21906158229031
23,-0.00399512596019982,32.24840560313492

24,-0.004006441004233361,32.24475749645988
24,-0.004004949724700758,32.257628326366415
25,-0.004006074374073154,32.24238737412733

25,-0.004011458384875602,32.25300884315713

26,-0.004009063780956009,32.23727786075997

27,-0.004015555219853669,32.25775078726931
27,-0.004016999810417682,32.244809586476194
28,-0.004027390275404828,32.25699900699055
28,-0.004026997288257396,32.267817301476015
29,-0.004032809928148916,32.28494379968872
29,-0.004039243444318974,32.28538795758865
30,-0.004038074728164997,32.28326497247404
30,-0.004051081896600806,32.30766763290344
31,-0.004040388160685766,32.276589648498344
31,-0.0040506624483280865,32.292154399207206
32,-0.004040552837238936,32.301318946789884
31,-0.00404881242393174,32.3001659316708
4
