epoch,loss,mean_squared_error
0,-0.004489819125713183,0.2944016484446732
1,-0.004606093044456211,0.29554005151980006
2,-0.004604875705650255,0.29592189229686106
3,-0.004602822296761712,0.3014078821600591
4,-0.00460202225833338,0.30334831848259514
5,-0.004602022053636311,0.30334772527932585
6,-0.0046018400867167105,0.3029605419657136
7,-0.00460187621967638,0.3026781938248495
8,-0.004602024012739432,0.30334731291241757
9,-0.0046020221537145245,0.3033483347798198
10,-0.0046020221624276485,0.3033483378939642
11,-0.004602022208079513,0.3033483344420942
12,-0.004602022179424378,0.30334833661374844
13,-0.0046020222337280065,0.30334833114730586
14,-0.004602022193353105,0.3033483312611901
15,-0.004602022245631853,0.30334832695322494
16,-0.004602022242993372,0.3033483252331805
17,-0.004602022289749716,0.30334832041469983
18,-0.00460202237184944,0.3033483070549027
19,-0.004602022346078227,0.30334829580785416
20,-0.00460202250328263,0.3033482195211346
21,-0.004602062613722332,0.30331749035790906
22,-0.004602022180897019,0.3033483432268873
